  1.00000000e+00 5.24520874e-05 1.02700000e+01 2.10100000e+01  2.24800000e+01 2.28800000e+01 2.31900000e+01
  6.00000000e+00 6.07967377e-05 7.55900000e+01 8.64200000e+01  8.77000000e+01 8.82800000e+01 8.87700000e+01
  1.10000000e+01 6.77108765e-05 8.13700000e+01 9.05000000e+01  9.14500000e+01 9.20000000e+01 9.23800000e+01
  1.60000000e+01 2.37226486e-04 8.44100000e+01 9.17500000e+01  9.27300000e+01 9.32600000e+01 9.36800000e+01
  2.10000000e+01 2.60829926e-04 8.59800000e+01 9.24100000e+01  9.35300000e+01 9.41900000e+01 9.46500000e+01
  2.60000000e+01 2.80618668e-04 8.63300000e+01 9.26100000e+01  9.38200000e+01 9.45500000e+01 9.50200000e+01
  3.10000000e+01 3.03030014e-04 8.69200000e+01 9.29300000e+01  9.42100000e+01 9.48900000e+01 9.53200000e+01
  3.60000000e+01 3.32117081e-04 8.79800000e+01 9.32400000e+01  9.44100000e+01 9.50700000e+01 9.55000000e+01
  4.10000000e+01 3.47852707e-04 8.79300000e+01 9.35600000e+01  9.47600000e+01 9.55300000e+01 9.60300000e+01
  4.60000000e+01 3.68118286e-04 8.81500000e+01 9.35800000e+01  9.48100000e+01 9.55200000e+01 9.59800000e+01
  5.10000000e+01 3.93629074e-04 8.85800000e+01 9.36700000e+01  9.49500000e+01 9.56100000e+01 9.61600000e+01
  5.60000000e+01 4.16278839e-04 8.88300000e+01 9.37700000e+01  9.50100000e+01 9.57800000e+01 9.63000000e+01
  6.10000000e+01 4.62532043e-04 8.88100000e+01 9.39500000e+01  9.51900000e+01 9.58900000e+01 9.64900000e+01
  6.60000000e+01 4.56809998e-04 8.87200000e+01 9.39400000e+01  9.53100000e+01 9.60600000e+01 9.65700000e+01
  7.10000000e+01 4.38213348e-04 8.91000000e+01 9.43100000e+01  9.54700000e+01 9.62100000e+01 9.66800000e+01
  7.60000000e+01 4.91619110e-04 8.91700000e+01 9.42100000e+01  9.55800000e+01 9.63200000e+01 9.67700000e+01
  8.10000000e+01 5.24997711e-04 8.90300000e+01 9.41000000e+01  9.53900000e+01 9.61800000e+01 9.67800000e+01
  8.60000000e+01 5.44548035e-04 8.91800000e+01 9.42700000e+01  9.55200000e+01 9.62400000e+01 9.68500000e+01
  9.10000000e+01 5.66720963e-04 8.96200000e+01 9.42700000e+01  9.56000000e+01 9.63500000e+01 9.69000000e+01
  9.60000000e+01 5.90324402e-04 8.96200000e+01 9.44300000e+01  9.57200000e+01 9.65500000e+01 9.70600000e+01
  1.01000000e+02 6.06060028e-04 8.96600000e+01 9.43500000e+01  9.56300000e+01 9.64400000e+01 9.69700000e+01
  1.06000000e+02 6.28709793e-04 8.99400000e+01 9.46200000e+01  9.57600000e+01 9.64900000e+01 9.69900000e+01
  1.11000000e+02 6.67333603e-04 8.96200000e+01 9.45000000e+01  9.58100000e+01 9.65700000e+01 9.71100000e+01
  1.16000000e+02 7.07149506e-04 9.00400000e+01 9.46200000e+01  9.58800000e+01 9.66000000e+01 9.70800000e+01
  1.21000000e+02 6.86168671e-04 8.98100000e+01 9.45000000e+01  9.57800000e+01 9.65500000e+01 9.70900000e+01
  1.26000000e+02 7.29799271e-04 8.98500000e+01 9.46300000e+01  9.59100000e+01 9.66400000e+01 9.71800000e+01
  1.31000000e+02 7.51733780e-04 8.98600000e+01 9.45500000e+01  9.58400000e+01 9.66200000e+01 9.71400000e+01
  1.36000000e+02 7.69853592e-04 8.97100000e+01 9.45100000e+01  9.58400000e+01 9.66500000e+01 9.71600000e+01
  1.41000000e+02 7.98702240e-04 8.98700000e+01 9.45200000e+01  9.59400000e+01 9.66500000e+01 9.71700000e+01
  1.46000000e+02 8.14199448e-04 8.98700000e+01 9.46600000e+01  9.59300000e+01 9.67000000e+01 9.72600000e+01
  1.51000000e+02 8.35418701e-04 9.01100000e+01 9.46700000e+01  9.59800000e+01 9.67800000e+01 9.73400000e+01
  1.56000000e+02 8.54492188e-04 9.02800000e+01 9.48000000e+01  9.60500000e+01 9.68000000e+01 9.73000000e+01
  1.61000000e+02 8.78334045e-04 8.99600000e+01 9.47100000e+01  9.60200000e+01 9.68000000e+01 9.73900000e+01
  1.66000000e+02 9.50813293e-04 9.03000000e+01 9.48100000e+01  9.60800000e+01 9.68800000e+01 9.74100000e+01
  1.71000000e+02 9.23156738e-04 9.04400000e+01 9.48200000e+01  9.61400000e+01 9.68300000e+01 9.73700000e+01
  1.76000000e+02 9.55820084e-04 9.00900000e+01 9.46300000e+01  9.59900000e+01 9.67900000e+01 9.73100000e+01
  1.81000000e+02 9.63926315e-04 9.05200000e+01 9.49100000e+01  9.62100000e+01 9.69000000e+01 9.74300000e+01
  1.86000000e+02 9.93251801e-04 9.02300000e+01 9.48100000e+01  9.61500000e+01 9.69300000e+01 9.74000000e+01
  1.91000000e+02 1.01685524e-03 9.03000000e+01 9.49200000e+01  9.61500000e+01 9.69100000e+01 9.74200000e+01
  1.96000000e+02 1.06167793e-03 9.04900000e+01 9.49000000e+01  9.61700000e+01 9.69400000e+01 9.74600000e+01


